School,Popularity.Rank,SAT.75.perc
Abilene Christian University (ACU),22,1230
Angelo State University (San Angelo State),24,1120
Austin College,41,1310
Baylor University,6,1380
Concordia University-Texas,46,1130
Criswell College,63,1120
Dallas Baptist University (DBU),39,1250
Dallas Christian College,64,972
East Texas Baptist University,57,1120
Hardin-Simmons University (HSU),45,1150
Houston Baptist University (HBU),38,1180
Howard Payne University,54,1110
Huston-Tillotson University,58,980
Lamar University,13,1140
LeTourneau University (LETU),61,1310
Lubbock Christian University,53,1170
McMurry University (McMurray University),52,1100
Midwestern State University (MSU),27,1120
Our Lady of the Lake University,48,1060
Paul Quinn College,60,910
Prairie View A & M University (PVAMU),37,1040
Rice,4,1570
Saint Edward's University,23,1245
Sam Houston State University (SHSU),15,1140
Schreiner University,62,1110
Southern Methodist University (SMU),7,1480
Southwestern Adventist University,47,1090
Southwestern Assemblies of God University,59,1103
Southwestern University (SU),29,1320
St. Mary's University,34,1220
Stephen F Austin State University (SFASU),18,1180
Tarleton State University (Tarlton),32,1140
Texas A & M International University (A&M),30,1100
Texas A & M University-College Station (Texas A&M),2,1390
Texas A & M University-Commerce (A&M Commerce),25,1150
Texas A & M University-Corpus Christi,19,1200
Texas A & M University-Kingsville (TAMUK),33,1120
Texas A & M University-Texarkana (San Anotonio),55,1130
Texas A & M University-Texarkana (A&M-Texarkana),65,1150
Texas Christian University (TCU),14,1350
Texas Lutheran University (TLU),56,1160
Texas Southern University (TSU),28,1000
Texas State University-San Marcos (Texas State),12,1180
Texas Tech University (TTU),8,1260
Texas Wesleyan University,50,1140
Texas Woman's University (TWU),21,1150
The King's University,67,1144
The University of Texas at Arlington (UT Arlington),10,1250
The University of Texas at Austin (UT Austin),1,1480
The University of Texas at Dallas (UTD),9,1460
The University of Texas at San Antonio (UTSA),11,1220
The University of Texas at Tyler (UT Tyler),31,1240
The University of Texas of the Permian Basin (UT Permian Basin),44,1133
The University of Texas Rio Grande Valley,17,1130
Trinity University (Trinity),16,1450
University of Dallas (UD),36,1360
University of Houston (UH),3,1310
University of Houston (Clear Lake),26,1190
University of Houston-Downtown (UHD),40,1080
University of Houston-Victoria,43,1088
University of Mary Hardin-Baylor (UMHB),49,1190
University of North Texas (UNT),5,1250
University of North Texas at Dallas,66,940
University of St Thomas (UST),42,1243
University of the Incarnate Word (UIW),35,1160
Wayland Baptist University (WBU),51,1060
West Texas A & M University (WTAMU),20,1140
